Age,Gender,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,treatment
34,19,0,0,0,4,0,1,1,0,1,1,0
23,32,0,1,3,5,0,1,2,2,2,2,1
22,19,1,0,0,4,1,1,0,0,1,1,0
36,19,0,0,3,1,1,1,2,2,1,1,1
22,15,1,0,0,0,0,1,0,1,1,1,0
26,35,0,1,2,4,0,1,0,0,1,1,0
33,19,0,1,3,4,1,1,0,0,0,0,1
46,12,0,0,1,5,0,0,2,2,2,2,1
28,19,0,1,3,5,0,1,0,1,1,0,1
31,19,0,1,3,4,0,1,1,0,1,1,0
32,15,0,0,0,3,0,0,2,1,2,2,1
27,32,0,0,3,2,0,1,0,1,1,1,1
30,35,0,1,1,5,0,1,2,2,2,1,1
24,9,1,1,3,0,1,1,1,0,0,0,1
29,9,0,1,3,5,0,0,2,2,2,2,1
21,1,0,0,3,2,0,1,1,2,2,1,1
31,35,1,0,0,0,1,1,1,0,1,1,0
25,19,0,1,3,2,0,0,0,0,1,0,1
23,35,1,1,1,2,1,1,0,0,0,0,1
27,19,0,0,1,1,1,1,1,0,1,1,1
29,19,0,0,1,4,0,0,0,0,1,1,0
30,8,0,1,3,2,0,1,2,2,2,0,1
33,35,0,1,2,2,0,1,2,1,0,2,1
25,8,0,0,3,2,0,1,2,2,1,0,1
28,19,0,1,2,5,0,1,2,2,0,0,1
33,35,0,1,3,4,1,1,2,2,1,0,1
29,19,0,0,2,4,0,1,1,2,1,1,1
26,19,0,0,0,4,0,1,1,0,1,1,0
32,35,0,1,0,2,0,1,0,1,1,1,0
42,19,0,0,3,0,1,1,1,2,1,1,1
35,35,0,0,0,5,0,1,0,0,1,0,0
35,19,0,1,0,1,0,1,2,0,1,1,0
32,19,0,0,2,5,0,1,2,2,2,2,1
34,9,0,0,3,5,0,0,1,2,1,2,1
23,19,0,1,3,4,0,1,0,1,1,0,0
31,9,0,1,3,1,0,1,0,0,1,1,1
35,9,0,0,2,0,0,1,0,0,1,1,0
32,19,0,0,0,0,1,1,0,1,1,1,0
32,35,0,0,2,0,1,1,1,2,1,1,0
32,19,0,0,0,4,1,1,1,0,1,1,0
38,35,0,1,3,5,0,1,2,1,2,2,1
26,19,0,1,3,4,0,1,1,0,1,1,0
32,19,0,0,2,1,0,1,0,0,1,1,1
32,35,1,0,0,0,1,1,1,0,1,1,0
27,30,0,0,3,4,1,1,0,1,2,0,1
27,19,0,0,0,0,1,1,1,0,1,1,0
31,35,0,0,0,2,0,1,0,1,1,0,0
29,19,0,0,3,4,0,1,0,0,1,1,0
28,9,0,1,3,2,0,1,0,1,1,1,1
44,19,0,1,3,5,0,0,2,0,1,0,1
29,35,0,0,0,2,0,1,0,0,1,0,0
30,19,0,0,1,2,0,1,1,0,1,1,1
36,19,0,0,3,5,0,1,0,0,1,1,0
39,19,1,1,3,0,1,1,1,2,2,2,1
45,15,0,0,0,4,1,1,2,0,1,1,0
22,19,1,1,3,4,1,1,0,1,2,2,1
23,19,0,1,2,0,0,1,1,2,1,1,1
32,15,0,0,2,1,0,1,2,2,1,2,1
26,8,0,0,3,1,1,1,0,1,0,0,1
24,6,1,0,3,4,1,1,1,0,1,1,1
29,19,0,0,0,4,0,1,0,0,1,1,0
24,19,0,1,3,1,0,1,1,2,1,1,1
38,19,0,1,3,2,1,1,2,0,1,1,1
33,30,0,1,3,2,1,1,1,2,1,1,0
26,19,0,0,1,4,0,1,1,0,1,1,0
23,9,0,0,3,5,0,1,2,2,2,2,1
43,5,0,0,3,1,1,1,2,2,1,2,1
31,19,0,1,0,1,0,1,0,0,0,0,0
23,9,0,1,3,2,0,0,1,0,1,1,0
32,19,0,0,0,3,0,1,2,1,0,2,0
25,15,0,0,3,5,0,1,2,2,2,0,1
28,9,0,0,2,5,0,0,2,2,1,0,1
45,32,0,0,2,2,0,0,0,0,0,0,1
37,19,0,0,1,5,0,0,0,0,1,1,0
31,35,0,1,0,4,0,1,0,1,1,0,1
40,13,0,1,0,5,0,1,2,2,2,0,0
27,9,0,0,3,3,0,1,0,1,0,2,0
23,19,0,0,1,2,0,1,2,2,2,0,1
27,19,0,0,2,4,0,1,1,2,1,1,0
35,9,0,1,2,4,1,1,2,2,0,0,1
32,35,0,0,2,0,1,1,1,2,1,1,0
23,9,0,1,3,5,0,1,0,1,1,0,1
31,35,0,0,0,2,0,1,2,2,1,0,1
29,19,0,1,3,5,1,0,2,2,1,2,0
31,9,1,1,3,1,1,1,0,1,0,0,1
35,19,0,1,3,0,0,1,1,2,1,1,1
37,34,0,0,1,4,0,1,1,0,1,1,1
35,19,0,1,3,4,1,1,1,2,1,1,0
37,19,0,1,3,1,0,1,0,1,0,0,1
32,27,0,0,3,2,0,1,2,2,1,1,1
48,19,0,0,0,5,0,1,2,2,2,2,1
32,19,0,0,0,5,0,1,0,1,0,0,0
34,15,0,0,0,4,1,1,2,1,0,0,0
26,19,1,0,2,0,1,1,1,1,0,0,1
30,35,0,0,1,2,0,1,1,0,0,1,0
25,19,0,1,1,4,1,1,2,2,1,0,1
24,32,0,1,3,5,0,1,2,2,1,2,1
36,19,0,0,2,5,1,1,2,0,2,0,0
26,9,1,1,3,0,1,1,1,0,1,1,1
31,30,0,0,3,5,0,1,2,1,0,0,1
27,19,0,0,0,1,0,0,2,1,1,1,1
32,30,0,0,3,1,0,0,2,2,0,0,1
31,9,0,1,2,5,0,0,0,1,1,0,1
29,9,0,0,1,5,1,0,2,0,1,1,1
28,19,1,0,0,1,1,1,0,0,1,1,0
34,19,0,1,3,2,1,1,2,2,1,1,1
28,19,0,1,3,4,1,1,2,2,2,1,1
31,18,1,1,0,4,0,1,1,0,1,1,0
23,19,0,0,1,2,0,0,2,2,2,1,1
33,19,0,0,3,5,0,1,2,2,0,0,1
26,8,0,1,1,1,0,0,0,0,1,1,1
46,35,1,1,3,0,1,1,2,1,2,0,0
40,19,0,1,3,5,0,1,2,2,2,2,1
32,19,0,0,3,2,0,0,2,2,1,1,1
24,8,0,1,2,4,0,1,1,0,1,1,1
36,19,1,0,3,0,0,1,1,0,1,1,1
29,19,0,0,0,5,0,0,2,1,2,2,1
29,35,1,0,0,2,1,1,2,2,1,1,0
32,15,0,1,3,0,1,1,1,0,1,1,1
43,19,0,1,1,5,1,1,2,1,1,0,1
34,19,0,0,0,3,0,1,0,0,1,0,0
40,35,0,1,3,5,0,1,2,1,2,0,1
38,19,0,1,3,0,0,1,1,1,0,0,1
38,19,0,1,3,1,0,1,0,0,0,0,1
56,32,1,0,2,0,1,1,0,1,0,0,0
27,9,0,0,2,4,0,1,2,0,1,1,1
31,17,0,1,3,2,1,1,2,0,1,1,1
23,19,0,1,3,4,0,1,0,1,1,1,1
22,19,0,0,3,3,0,1,2,2,1,0,1
35,15,0,1,3,1,0,1,2,2,1,1,1
35,19,0,0,2,4,0,1,1,0,1,1,1
30,19,0,1,1,4,0,1,0,0,1,0,0
34,19,0,1,1,2,0,1,1,2,1,1,1
24,35,0,0,0,2,0,1,0,1,1,0,0
25,32,0,0,0,5,0,1,2,2,2,2,0
26,19,0,0,2,5,0,1,2,0,1,1,0
37,19,0,1,1,2,0,1,2,2,1,0,1
33,35,0,1,1,4,1,1,0,0,1,1,1
31,19,0,0,0,1,0,1,2,0,1,2,0
28,35,0,0,3,4,0,1,1,2,1,1,0
23,19,0,0,0,2,0,0,0,1,0,0,0
25,32,0,1,3,5,0,1,2,2,2,1,1
27,19,0,0,0,5,1,1,2,2,0,0,0
29,19,0,1,3,2,0,0,2,2,2,2,1
37,19,0,0,3,0,0,1,1,2,1,1,0
29,30,0,1,2,3,1,0,2,2,2,0,1
35,35,0,1,3,5,0,0,2,2,1,0,1
41,9,0,1,3,2,0,1,2,0,1,0,1
35,19,0,0,0,4,0,1,1,2,1,1,0
26,19,0,0,0,4,0,1,0,0,1,0,0
42,35,1,1,3,4,1,0,2,1,0,2,0
24,32,0,1,1,4,0,1,2,2,1,1,1
29,8,1,0,3,5,0,1,2,1,0,1,0
37,19,0,1,3,2,0,0,1,0,1,1,0
37,19,0,1,3,2,1,1,0,0,1,1,0
25,19,0,1,3,5,0,1,2,2,1,0,1
35,35,0,0,2,1,0,1,2,1,0,2,1
34,19,0,1,3,2,1,0,2,0,1,1,1
33,35,1,0,0,4,1,1,0,0,1,1,0
32,32,0,0,3,1,0,1,1,0,1,1,0
36,35,0,0,1,4,0,1,1,0,1,1,1
46,35,0,0,3,5,0,1,2,2,2,2,1
41,19,0,0,3,2,1,1,2,2,0,1,1
31,19,1,1,3,0,1,1,1,0,1,1,0
22,9,0,1,3,5,0,1,0,1,0,0,1
31,15,0,0,0,5,0,1,2,0,1,2,0
31,9,0,1,1,2,0,1,1,0,1,1,1
24,19,0,1,2,2,0,1,0,1,1,0,0
25,19,0,1,2,2,1,1,0,1,0,0,0
34,9,0,1,0,3,0,0,0,0,2,2,0
21,35,0,0,2,4,1,1,0,0,1,1,0
22,15,0,1,1,4,0,1,1,2,1,1,1
32,19,0,0,2,3,0,1,1,0,1,1,0
26,19,0,0,0,5,0,0,2,2,1,0,0
28,19,0,1,3,4,0,1,0,1,1,0,0
40,8,0,1,3,2,0,1,2,2,1,2,1
27,15,0,1,3,4,1,1,0,0,2,0,1
29,8,0,0,3,2,0,1,2,2,1,1,1
33,19,0,1,1,1,0,1,1,2,1,1,0
46,9,0,0,1,1,1,0,2,2,1,1,1
48,11,0,1,1,2,0,1,0,0,1,1,0
55,15,0,1,2,5,0,1,2,2,2,2,1
29,15,0,0,0,0,1,1,1,0,1,1,0
39,19,0,1,3,5,0,1,2,0,2,2,0
35,34,0,0,2,1,0,0,0,0,2,0,1
36,19,0,1,3,5,0,1,2,0,1,2,1
24,19,0,0,3,4,0,1,1,0,1,1,1
35,9,0,1,3,4,0,0,2,1,2,2,1
33,19,0,0,3,2,0,1,0,1,1,1,1
31,35,0,1,3,5,0,1,2,1,0,0,0
34,19,0,0,2,4,0,1,0,1,0,0,0
33,19,0,1,3,5,0,1,2,2,1,1,1
44,9,0,0,0,1,0,1,2,1,0,0,0
39,15,0,1,1,2,1,1,2,2,2,2,1
41,19,0,0,0,3,0,1,2,1,1,0,1
29,19,0,0,0,5,0,0,2,1,1,0,0
33,19,0,0,0,4,0,0,1,0,1,1,0
29,35,0,0,2,4,0,1,2,2,1,1,1
23,9,0,1,3,4,0,1,1,2,1,2,1
42,19,0,0,0,3,0,1,0,1,1,1,0
30,35,0,1,3,3,1,1,0,0,1,1,1
27,19,0,0,3,4,1,1,1,2,1,1,0
25,19,0,0,0,5,0,0,0,1,0,2,0
29,19,0,1,1,1,0,1,2,2,2,2,0
23,19,0,1,3,4,0,1,1,2,1,1,1
25,19,0,0,0,5,0,0,2,2,2,2,0
31,19,0,1,3,2,0,1,2,2,1,0,1
48,35,0,0,3,4,0,1,1,0,1,1,1
28,19,0,0,2,2,0,1,0,0,1,0,1
40,19,1,0,0,4,0,1,1,0,1,1,0
34,35,0,0,2,2,0,1,1,0,1,1,0
35,9,0,0,3,1,0,0,2,0,1,1,1
24,19,0,0,3,4,0,1,0,0,0,0,0
33,35,0,1,1,2,0,1,0,1,2,1,1
26,41,1,0,3,4,1,1,1,1,2,2,1
33,19,0,0,1,2,1,1,2,2,1,1,1
34,35,0,0,0,5,1,1,0,1,1,1,0
31,19,0,0,3,5,0,1,0,0,1,1,0
25,19,0,0,0,2,0,1,1,0,1,1,0
27,19,0,0,3,5,0,1,2,2,2,2,1
29,19,0,0,3,4,1,1,1,0,1,1,1
26,19,1,1,1,0,0,1,1,0,1,1,1
25,30,0,0,3,4,0,1,1,0,1,1,0
22,19,0,1,3,4,1,1,1,1,1,0,1
21,19,1,0,1,0,1,0,1,2,1,1,0
24,19,0,0,2,1,0,1,0,1,2,0,0
36,19,0,1,3,5,1,0,0,0,0,0,1
25,19,0,1,0,4,1,1,0,0,2,0,1
27,32,1,1,3,0,1,1,1,0,1,1,0
27,35,0,0,2,2,1,1,1,2,1,1,1
26,19,0,0,3,5,0,1,2,2,0,0,1
28,35,0,0,3,5,0,1,2,2,1,1,1
33,15,0,1,3,4,1,1,0,1,1,1,0
27,9,0,1,2,1,1,1,1,0,1,1,1
35,15,0,0,0,2,1,0,0,1,0,0,0
30,19,0,1,3,2,0,1,0,0,1,1,1
39,19,0,0,1,5,0,1,2,1,1,1,1
28,17,0,0,3,4,1,1,1,2,1,1,0
22,19,0,1,1,1,0,0,2,2,2,2,1
32,19,0,1,3,5,0,1,2,0,2,0,0
25,32,0,0,3,2,1,1,1,0,1,1,1
29,15,0,0,2,1,0,1,0,1,1,1,0
39,35,0,0,3,3,0,0,0,0,1,1,1
38,19,0,0,0,2,0,1,2,2,1,1,0
24,15,0,0,0,4,0,1,1,0,1,1,0
31,19,1,1,2,0,1,1,1,2,1,1,0
27,19,0,0,0,4,0,1,0,0,1,1,0
21,19,0,0,1,5,0,0,1,2,1,1,1
28,34,0,0,0,4,1,1,0,0,0,0,0
32,19,0,1,3,2,1,1,1,0,1,1,1
34,15,0,0,3,4,0,1,0,1,1,1,1
34,35,0,1,3,0,0,1,1,0,1,1,1
27,19,0,0,0,0,0,1,0,0,1,0,0
24,19,0,0,3,2,0,1,2,2,1,1,0
43,37,0,0,3,4,1,1,0,0,1,0,0
38,28,0,0,0,5,0,1,2,2,2,2,0
37,19,0,1,2,5,0,0,2,2,2,2,1
50,19,0,0,0,2,1,1,1,2,1,1,0
23,9,0,0,3,4,0,1,0,1,0,0,1
23,19,0,0,2,1,0,1,2,1,0,0,0
40,19,0,0,0,2,0,1,1,0,1,1,0
36,35,1,0,3,4,1,1,1,0,1,1,0
44,19,0,0,3,5,0,0,1,0,1,2,1
26,19,0,0,3,4,1,1,1,0,1,1,0
29,19,0,0,1,4,0,1,1,0,1,1,0
26,15,0,1,0,5,0,1,0,0,1,0,1
30,19,0,0,1,4,0,1,1,0,1,1,0
42,15,0,1,3,4,1,1,0,0,1,0,1
41,19,1,0,1,0,1,0,1,2,2,2,1
36,15,1,1,3,0,1,1,0,2,0,1,1
26,35,1,1,2,1,1,0,1,0,1,0,1
33,35,0,0,2,2,1,1,1,0,1,1,1
33,10,0,0,0,3,0,1,2,1,2,2,0
29,19,0,0,0,1,0,0,2,2,2,1,0
27,19,0,0,2,4,0,1,1,2,1,1,1
46,19,0,0,1,2,1,1,2,2,1,1,1
28,35,0,0,0,2,0,1,1,0,1,1,0
34,35,1,1,2,2,1,1,1,0,1,0,1
25,19,0,1,3,0,1,1,0,0,0,0,1
25,19,0,1,3,2,0,1,0,2,1,1,1
22,8,0,1,1,5,0,1,0,1,1,0,1
49,35,1,1,3,0,1,1,1,2,2,1,1
27,9,0,1,3,4,0,1,1,2,1,1,1
26,19,0,1,3,5,0,1,2,1,1,0,1
42,19,0,0,0,4,1,1,1,2,1,2,0
26,19,0,1,1,4,0,1,2,2,1,1,1
30,19,1,0,0,0,1,1,1,2,1,1,0
24,19,0,0,2,2,0,1,2,2,2,1,1
31,20,0,1,1,5,0,1,2,1,0,0,1
37,19,0,0,3,4,0,1,1,0,1,1,0
30,19,0,0,0,4,0,1,1,0,1,0,0
26,34,1,0,3,0,0,1,1,2,2,1,0
43,35,0,0,3,2,0,0,1,2,0,1,1
36,19,1,0,0,0,0,1,1,2,1,1,1
35,15,0,1,3,4,0,1,2,2,1,1,1
43,19,0,0,0,3,0,1,0,0,1,0,0
30,35,0,0,3,3,0,1,0,0,1,1,0
27,15,0,0,2,2,0,1,1,2,1,2,0
57,15,0,1,2,5,0,1,2,2,1,1,1
41,35,0,1,1,5,0,1,2,0,1,1,1
43,15,0,1,3,2,0,0,2,1,1,2,1
48,19,0,0,0,2,0,0,2,2,2,2,0
27,19,0,0,3,1,0,1,0,1,1,1,1
30,19,1,0,0,0,0,1,1,0,1,1,0
35,19,1,1,1,0,0,1,1,2,2,1,1
24,9,0,1,3,1,0,1,2,1,1,1,1
30,19,0,0,3,2,0,1,0,0,1,0,1
37,19,0,1,2,1,0,0,2,2,2,2,1
23,9,0,1,0,5,0,0,1,0,1,2,0
32,19,1,1,3,0,1,1,2,2,0,0,1
32,19,0,0,3,2,0,1,2,0,2,2,1
28,19,0,0,0,4,1,1,1,2,1,1,1
25,19,0,0,0,5,0,0,0,0,1,1,0
26,19,0,1,1,2,1,1,0,0,0,0,1
29,35,0,1,2,4,0,1,1,2,1,1,1
23,19,0,0,2,4,0,1,1,2,1,1,1
35,19,0,1,1,5,0,1,0,1,1,1,1
27,19,0,0,3,0,1,1,1,0,1,1,0
51,34,1,0,0,0,0,1,1,2,1,1,0
28,19,0,0,3,5,0,1,1,2,1,1,1
27,19,0,0,2,4,0,0,2,2,2,2,0
30,19,1,1,1,2,0,1,2,1,2,2,1
31,19,0,1,2,1,0,1,1,0,1,0,1
32,19,0,0,0,4,1,1,1,0,1,1,0
26,8,0,1,0,5,0,1,2,2,1,2,1
46,15,0,0,0,2,0,1,2,1,2,0,0
25,19,0,1,3,2,0,1,1,0,1,1,1
34,9,0,1,3,5,0,0,2,2,2,1,1
42,15,0,0,2,5,0,0,0,0,1,0,0
45,19,0,0,1,0,1,1,2,1,1,2,1
26,19,0,0,0,2,0,1,0,1,1,1,0
32,19,0,0,1,2,1,1,2,1,1,0,1
24,19,0,0,3,4,0,1,0,0,1,0,0
22,15,0,0,0,5,0,1,0,1,1,1,1
28,19,0,1,3,2,1,1,2,1,1,0,1
23,19,0,1,3,2,0,1,2,1,2,2,0
31,35,0,1,3,4,0,1,0,0,1,1,1
40,19,0,1,3,5,1,0,2,1,2,0,0
29,15,0,0,3,2,0,1,2,2,1,1,1
35,9,0,0,3,1,0,1,1,2,1,1,1
27,32,0,0,2,5,0,1,2,2,1,1,1
30,35,0,0,0,2,0,0,1,0,1,1,0
57,19,0,0,3,5,0,1,2,1,2,2,1
23,19,0,1,3,1,0,1,0,0,1,0,0
25,19,0,1,3,2,0,0,2,2,1,1,1
39,9,0,0,3,4,1,1,1,0,1,1,1
24,19,0,1,1,2,0,0,0,2,1,1,1
41,34,0,1,1,5,0,1,2,0,2,2,1
29,19,0,1,0,1,0,1,2,2,2,2,0
44,15,0,1,3,1,0,1,2,2,1,2,1
28,35,0,1,2,0,1,1,2,0,1,1,1
28,19,0,0,3,5,0,1,1,0,1,1,1
46,35,0,1,3,1,1,1,0,1,0,0,1
27,32,1,1,3,0,1,1,1,0,0,0,1
45,15,0,0,3,5,0,1,0,1,0,0,1
31,35,0,0,3,5,0,1,2,1,2,2,0
34,32,0,1,2,3,1,1,2,1,1,0,1
43,15,0,0,3,5,0,1,2,2,2,2,1
23,19,0,0,3,0,0,1,1,0,1,1,1
21,19,0,0,3,4,1,1,1,2,1,1,1
37,14,0,1,3,1,0,0,2,2,1,1,1
31,9,0,1,2,1,0,1,2,2,1,1,1
39,19,0,1,3,3,0,1,2,2,2,2,1
41,34,0,0,3,5,0,1,2,2,2,2,1
27,19,0,1,3,0,0,1,1,2,1,1,1
26,9,0,1,3,1,0,1,2,1,1,1,1
30,9,0,1,3,3,0,0,2,2,2,2,1
29,30,0,0,1,5,0,0,2,2,1,1,1
29,32,0,0,3,0,0,1,1,0,1,1,1
31,19,0,0,0,1,1,1,1,0,1,1,0
29,34,0,0,3,1,0,1,1,0,1,1,1
34,35,0,0,0,4,0,1,0,1,0,0,0
31,35,0,1,2,1,1,1,2,2,2,0,1
22,19,0,0,3,5,0,1,0,0,0,0,0
24,35,0,1,3,4,0,1,1,0,1,1,1
33,9,1,1,1,0,1,1,1,2,1,1,1
40,19,0,1,2,4,0,1,0,1,1,0,1
34,9,0,1,2,2,0,0,2,2,2,2,0
23,19,0,0,0,2,0,1,0,1,0,0,0
